year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
1997,Turkey,Government of Turkey,PKK,1,42,0
1999,Turkey,Government of Turkey,PKK,0,0,0
1997,Turkey,Government of Turkey,PKK,14,0,0
1997,Turkey,Government of Turkey,PKK,0,15,0
1997,Turkey,Government of Turkey,PKK,0,6,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,5,4,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,0,3,0
1997,Turkey,Government of Turkey,PKK,0,9,0
1998,Turkey,Government of Turkey,PKK,1,7,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,11,81,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,1,7,0
1998,Turkey,Government of Turkey,PKK,0,8,0
1998,Turkey,Government of Turkey,PKK,20,0,0
1998,Turkey,Government of Turkey,PKK,0,13,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1998,Turkey,Government of Turkey,PKK,0,7,0
1998,Turkey,Government of Turkey,PKK,0,11,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1998,Turkey,Government of Turkey,PKK,2,0,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,0,11,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,0,1
1998,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,6,0,0
1997,Turkey,Government of Turkey,PKK,0,15,0
1997,Turkey,Government of Turkey,PKK,0,8,0
1997,Turkey,Government of Turkey,PKK,1,13,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,3,10,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1997,Turkey,Government of Turkey,PKK,1,20,0
1998,Turkey,Government of Turkey,PKK,3,27,0
1998,Turkey,Government of Turkey,PKK,1,3,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,0,7,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,1,8,0
1996,Turkey,Government of Turkey,PKK,0,0,0
1996,Turkey,Government of Turkey,PKK,3,0,2
1997,Turkey,Government of Turkey,PKK,4,23,0
1996,Turkey,Government of Turkey,PKK,1,8,0
1997,Turkey,Government of Turkey,PKK,2,8,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,5,8,0
1996,Turkey,Government of Turkey,PKK,3,20,0
1996,Turkey,Government of Turkey,PKK,0,9,0
1997,Turkey,Government of Turkey,PKK,0,50,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,0,0,3
1996,Turkey,Government of Turkey,PKK,0,583,0
1997,Turkey,Government of Turkey,PKK,3,0,0
1997,Turkey,Government of Turkey,PKK,0,30,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,2,18,0
1998,Turkey,Government of Turkey,PKK,0,3,0
1998,Turkey,Government of Turkey,PKK,1,6,0
1999,Turkey,Government of Turkey,PKK,0,6,0
1999,Turkey,Government of Turkey,PKK,0,3,0
